title,summary,link
Syria war: Rebels evacuated from Damascus stronghold,"Some 2,300 people left Qaboun on Sunday following two months of intense air strikes and artillery bombardment",http://www.bbc.co.uk/news/uk-39958705
Syria Rejects U.N. Monitoring Role in De-Escalation Zones,"The Syrian government said on Monday that the “de-escalation zones” negotiated by Russia, Iran and Turkey, which took effect this weekend, could not be monitored by others, including the United Nations",http://www.bbc.co.uk/news/entertainment-arts-39976037
US-backed Syrian forces fully capture Tabqa from ISIL,Syrian Democratic Forces say they now control all of the key city and an adjacent dam east of ISIL stronghold of Raqqa.,http://www.bbc.co.uk/news/uk-39985181
North Korea Missle Detected by THAAD Program Progressing Faster than expected,"The reclusive North, which has defied all calls to rein in its weapons programmes, even from its lone major ally, China, said the missile test was a legitimate defence against U.S. hostility.",http://www.bbc.co.uk/news/10318089
North Korea: No joint talks until US rolls back hostile policy,The rolling back of the hostile policy towards the Democratic Peoples Republic of Korea is the prerequisite for solving all the problems in the Korean Peninsula North Koreas deputy U.N. ambassador Kim In Ryong said,http://www.bbc.co.uk/news/world-africa-39972853
NORTH KOREAN HACKERS ARE SCARIER THAN NORTH KOREAN NUKES,"If you want to get really terrified, think of this month’s global ransomware hack as a warmup for the kind of complete digital shutdown that might—and some say will—come",http://www.bbc.co.uk/news/disability-39962925
War with North Korea would be tragic: US military chief,"Military action on the Korean peninsula would be tragic on an unbelievable scale, Pentagon chief James Mattis says.",http://www.bbc.co.uk/news/uk-england-39434504
"Drug Label, Maimed Patient and Test for Court","Diana Levine lost part of an arm after being given a drug. A jury ordered Wyeth, a pharmaceutical company, to pay $6 million.",http://www.nytimes.com/2008/09/19/us/19scotus.html?partner=rssnyt&emc=rss
Rare Mexican porpoise faces 'imminent extinction',A fishing ban extension is said to be the best hope for the world's most endangered marine species.,http://www.bbc.co.uk/news/science-environment-39923383
Syria and Russia condemn US-led attack on pro-Assad forces,"The attack on a pro-Assad convoy was a ""blatant attack on forces fighting terrorism"", Syria says.",http://www.bbc.co.uk/news/world-middle-east-39972271
"Despite US call to isolate North Korea, ferry service to Russia begins","A Russian firm on Thursday announced a weekly ferry service linking the Russian city of Vladivostock to North Koreas port, Rajin, despite the U.S. calling for world powers to isolate Pyongyang",http://www.bbc.co.uk/news/world-asia-india-39984640
North Korea denies role in WannaCry malware,North Korea is denying reports linking the WannaCry malware with the countrys best-known hacking unit. ,http://www.bbc.co.uk/sport/football/39987346
North Korea Says Missile It Tested Can Carry Nuclear Warhead,"North Korea said on Monday that the missile it launched a day earlier was a new ballistic missile that can carry a large, heavy nuclear warhead, warning that the United States’ military bases in the Pacific were within its range.",http://www.bbc.co.uk/news/entertainment-arts-39987674
Japan PM praises Trumps stance on North Korea amid evolving nuclear threat,Japanese Prime Minister Shinzo Abe praised the Trump administrations tough stance on North Korea as he warned of growing threats from the rogue nation on Monday.,http://www.bbc.co.uk/news/world-us-canada-39985174
"North Koreas army: 1.2M men, obsolete equipment and nukes","North Korea’s military may be armed with obsolete conventional weapons, but at 1.2 million men, it poses a very real threat to its neighbor and nemisis to the south.",http://www.bbc.co.uk/news/uk-39987906
North Korea’s Punggye-ri Nuclear Test Site: Primed and Ready,"Commercial satellite imagery of North Korea’s Punggye-ri Nuclear Test Site from April 12 shows continued activity around the North Portal, new activity in the Main Administrative Area, and a few personnel around the site’s Command Center.",http://www.bbc.co.uk/news/world-us-canada-39985414
Putin says world needs to talk to North Korea not threaten it,"Putin, speaking in Beijing, said nuclear tests of the type that Pyongyang had been carrying out in recent weeks were unacceptable, but that a peaceful solution to rising tensions on the Korean peninsula was needed.",http://www.bbc.co.uk/news/world-us-canada-39979879
"North Korea Pens Singular, Scathing Criticism Of Its Singular Ally, China","North Korea doesnt have a whole lot of longtime friends on the world stage. In fact, as Pyongyang looks beyond its borders, it is likely to find only one world power ready to regularly defend its interests and actions in high-level international negotiations: China, its next-door neighbor, most important trading partner and staunch ally.",http://www.bbc.co.uk/news/39957804
North Korea threatens to sink approaching US carrier,Rhetoric rises as Pyongyang also warns Australia of a nuclear attack if it joins any US strike on the communist nation.,http://www.bbc.co.uk/news/world-us-canada-39984157
North Korea seizes another American citizen as crisis heats up,"North Korea announced Sunday that it detained another American over the weekend, raising to four the number of U.S. citizens being held by the communist nations authoritarian regime.",http://www.bbc.co.uk/news/world-asia-39986476
